,"京成","京成","京成","日東","京成","日東","日東","日東","京成","日東","京成","京成","京成","京成","日東","京成","日東","京成","日東","日東","日東","京成","日東","日東","日東","京成","京成","京成","京成","京成","日東","京成","京成","京成","日東","日東","京成","京成","日東","日東","日東","日東","日東","日東","京成","京成","日東","京成","日東","日東","日東","日東","☆日東"
"東雲車庫","5:35","5:45","6:10","─","─","─","9:10","─","9:35","─","10:05","─","10:35","─","11:05","11:40","12:25","12:45","─","13:55","14:25","─","15:35","15:55","16:20","─","17:05","─","17:35","17:50","─","18:00","18:15","18:20","─","18:45","18:55","─","19:20","─","19:55","20:15","20:20","20:30","─","20:50","21:05","21:20","─","22:00","─","22:45","23:20"
"浜松町ＢＴ","↓","↓","↓","8:25","9:05","9:10","↓","9:35","↓","10:05","↓","10:35","↓","11:05","↓","↓","↓","↓","13:30","↓","↓","15:15","↓","↓","↓","16:55","↓","17:30","↓","↓","18:05","↓","↓","↓","18:45","↓","↓","19:20","↓","19:45","↓","↓","↓","↓","20:45","↓","↓","↓","21:45","↓","22:35","↓","↓"
"東京駅八重洲口前","6:00","6:10","6:35","8:45","9:25","9:30","9:40","9:55","10:05","10:25","10:35","10:55","11:05","11:25","11:35","12:10","12:55","13:15","13:50","14:25","14:55","15:35","16:05","16:25","16:50","17:15","17:35","17:50","18:05","18:20","18:25","18:30","18:45","18:50","19:05","19:15","19:25","19:40","19:50","20:05","20:25","20:45","20:50","21:00","21:05","21:20","21:35","21:50","22:05","22:30","22:55","23:15","23:45"
,"↓","↓","↓","↓","↓","↓","↓","↓","↓","↓","↓","↓","↓","↓","↓","↓","↓","↓","↓","↓","↓","↓","↓","↓","↓","↓","↓","↓","↓","↓","↓","↓","↓","↓","↓","↓","↓","↓","↓","↓","↓","↓","↓","↓","↓","↓","↓","↓","↓","↓","↓","↓","↓"
"三井ｱｳﾄﾚｯﾄﾊﾟｰｸ","↓","↓","↓","↓","10:10","↓","↓","10:40","↓","11:10","↓","↓","↓","12:10","↓","↓","↓","↓","↓","↓","↓","↓","↓","↓","↓","↓","↓","↓","↓","↓","↓","↓","↓","↓","↓","↓","↓","↓","↓","↓","↓","↓","↓","↓","↓","↓","↓","↓","↓","↓","↓","↓","↓"
"木更津金田ＢＴ","6:40","6:50","7:15","9:25","―","10:10","10:20","―","10:45","―","11:15","11:35","11:45","―","12:15","12:50","13:35","13:55","14:30","15:05","15:35","16:15","16:45","17:05","17:30","17:55","18:15","18:30","18:45","19:00","19:05","19:10","19:25","19:30","19:45","19:55","20:05","20:20","20:30","20:45","21:05","21:25","21:30","21:40","21:45","22:00","22:15","22:30","22:45","23:10","23:35","23:55","0:25"
"木更津羽鳥野","6:51","7:01","7:26","9:36","―","10:21","10:31","―","10:56","―","11:26","11:46","11:56","―","12:26","13:01","13:46","14:06","14:41","15:16","15:46","16:26","16:56","17:16","17:41","18:06","18:26","18:41","18:56","19:11","19:16","19:21","19:36","19:41","19:56","20:06","20:16","20:31","20:41","20:56","21:16","21:36","21:41","21:51","21:56","22:11","22:26","22:41","22:56","23:21","23:46","0:06","0:36"
"君津ＢＴ","6:55","7:05","7:30","9:40","―","10:25","10:35","―","11:00","―","11:30","11:50","12:00","―","12:30","13:05","13:50","14:10","14:45","15:20","15:50","16:30","17:00","17:20","17:45","18:10","18:30","18:45","19:00","19:15","19:20","19:25","19:40","19:45","20:00","20:10","20:20","20:35","20:45","21:00","21:20","21:40","21:45","21:55","22:00","22:15","22:30","22:45","23:00","23:25","23:50","0:10","0:40"
"杢師４丁目","7:01","7:11","7:36","9:46","―","10:31","10:41","―","11:06","―","11:36","11:56","12:06","―","12:36","13:11","13:56","14:16","14:51","15:26","15:56","16:36","17:06","17:26","17:51","18:16","18:36","18:51","19:06","19:21","19:26","19:31","19:46","19:51","20:06","20:16","20:26","20:41","20:51","21:06","21:26","21:46","21:51","22:01","22:06","22:21","22:36","22:51","23:06","23:31","23:56","0:16","0:46"
"君津市役所","7:04","7:14","7:39","9:49","―","10:34","10:44","―","11:09","―","11:39","11:59","12:09","―","12:39","13:14","13:59","14:19","14:54","15:29","15:59","16:39","17:09","17:29","17:54","18:19","18:39","18:54","19:09","19:24","19:29","19:34","19:49","19:54","20:09","20:19","20:29","20:44","20:54","21:09","21:29","21:49","21:54","22:04","22:09","22:24","22:39","22:54","23:09","23:34","23:59","0:19","0:49"
"君津駅南口","7:07","7:17","7:42","9:52","―","10:37","10:47","―","11:12","―","11:42","12:02","12:12","―","12:42","13:17","14:02","14:22","14:57","15:32","16:02","16:42","17:12","17:32","17:57","18:22","18:42","18:57","19:12","19:27","19:32","19:37","19:52","19:57","20:12","20:22","20:32","20:47","20:57","21:12","21:32","21:52","21:57","22:07","22:12","22:27","22:42","22:57","23:12","23:37","0:02","0:22","0:52"
"富士見公園","─","─","─","─","─","10:42","─","─","─","─","─","12:07","─","─","─","─","─","─","15:02","─","─","─","─","─","─","18:27","─","19:02","─","─","19:37","─","─","─","20:17","─","─","─","─","21:17","─","─","─","─","22:17","─","─","─","23:17","─","─","─","─"
"青堀駅","─","─","─","─","─","10:47","─","─","─","─","─","12:12","─","─","─","─","─","─","15:07","─","─","─","─","─","─","18:32","─","19:07","─","─","19:42","─","─","─","20:22","─","─","─","─","21:22","─","─","─","─","22:22","─","─","─","23:22","─","─","─","─"
