,"日東","日東","日東","日東","京成","京成","日東","日東","日東","日東","日東","京成","日東","京成","京成","日東","京成","京成","京成","京成","京成","日東","京成","日東","京成","京成","日東","京成","京成","京成","京成","京成","日東","京成","日東","日東","京成","日東","日東","京成","京成","日東","京成","日東","日東","京成","京成","日東","京成","京成","京成","京成","日東","日東","京成","日東","日東","日東","日東","日東","日東","京成","日東","日東","京成","京成","京成","京成","京成"
"青堀駅","─","─","─","─","─","─","6:26","─","─","─","─","─","─","─","─","7:06","─","7:26","─","─","8:11","─","─","─","─","─","7:06","─","7:26","─","─","8:11","─","8:41","─","─","─","─","─","─","─","─","─","─","─","─","─","─","─","14:01","─","─","15:01","─","16:01","─","─","17:01","─","─","17:51","─","─","18:51","─","─","─","─","─"
"富士見公園","─","─","─","─","─","─","6:31","─","─","─","─","─","─","─","─","7:11","─","7:31","─","─","8:16","─","─","─","─","─","7:11","─","7:31","─","─","8:16","─","8:46","─","─","─","─","─","─","─","─","─","─","─","─","─","─","─","14:06","─","─","15:06","─","16:06","─","─","17:06","─","─","17:56","─","─","18:56","─","─","─","─","─"
"君津駅南口","5:26","5:46","6:06","6:21","─","─","6:36","─","6:46","─","6:56","─","─","7:06","─","7:16","7:26","7:36","7:51","8:06","8:21","8:36","─","─","7:06","─","7:16","7:26","7:36","7:51","8:06","8:21","8:36","8:51","9:11","9:31","9:51","10:11","10:31","10:51","11:11","11:31","11:51","12:11","12:31","12:51","13:11","13:31","13:51","14:11","14:31","14:51","15:11","15:41","16:11","─","16:41","17:11","17:41","─","18:01","─","18:31","19:01","19:41","─","20:21","21:01","21:31"
"君津市役所","5:29","5:49","6:09","6:24","─","─","6:39","─","6:49","─","6:59","─","─","7:09","─","7:19","7:29","7:39","7:54","8:09","8:24","8:39","─","─","7:09","─","7:19","7:29","7:39","7:54","8:09","8:24","8:39","8:54","9:14","9:34","9:54","10:14","10:34","10:54","11:14","11:34","11:54","12:14","12:34","12:54","13:14","13:34","13:54","14:14","14:34","14:54","15:14","15:44","16:14","─","16:44","17:14","17:44","─","18:04","─","18:34","19:04","19:44","─","20:24","21:04","21:34"
"杢師４丁目","5:32","5:52","6:12","6:27","─","─","6:42","─","6:52","─","7:02","─","─","7:12","─","7:22","7:32","7:42","7:57","8:12","8:27","8:42","─","─","7:12","─","7:22","7:32","7:42","7:57","8:12","8:27","8:42","8:57","9:17","9:37","9:57","10:17","10:37","10:57","11:17","11:37","11:57","12:17","12:37","12:57","13:17","13:37","13:57","14:17","14:37","14:57","15:17","15:47","16:17","─","16:47","17:17","17:47","─","18:07","─","18:37","19:07","19:47","─","20:27","21:07","21:37"
"君津ＢＴ","5:40","6:00","6:20","6:35","6:40","6:45","6:50","6:55","7:00","7:05","7:10","7:13","7:15","7:20","7:25","7:30","7:40","7:50","8:05","8:20","8:35","8:50","7:13","7:15","7:20","7:25","7:30","7:40","7:50","8:05","8:20","8:35","8:50","9:05","9:25","9:45","10:05","10:25","10:45","11:05","11:25","11:45","12:05","12:25","12:45","13:05","13:25","13:45","14:05","14:25","14:45","15:05","15:25","15:55","16:25","─","16:55","17:25","17:55","─","18:15","─","18:45","19:15","19:55","─","20:35","21:15","21:45"
"木更津羽鳥野","5:44","6:04","6:24","6:39","6:44","6:49","6:54","6:59","7:04","7:09","7:14","7:17","7:19","7:24","7:29","7:34","7:44","7:54","8:09","8:24","8:39","8:54","7:17","7:19","7:24","7:29","7:34","7:44","7:54","8:09","8:24","8:39","8:54","9:09","9:29","9:49","10:09","10:29","10:49","11:09","11:29","11:49","12:09","12:29","12:49","13:09","13:29","13:49","14:09","14:29","14:49","15:09","15:29","15:59","16:29","─","16:59","17:29","17:59","─","18:19","─","18:49","19:19","19:59","─","20:39","21:19","21:49"
"木更津金田ＢＴ","5:57","6:17","6:37","6:52","6:57","7:02","7:07","7:12","7:17","7:22","7:27","7:30","7:32","7:37","7:42","7:47","7:57","8:07","8:22","8:37","8:52","9:07","7:30","7:32","7:37","7:42","7:47","7:57","8:07","8:22","8:37","8:52","9:07","9:22","9:42","10:02","10:22","10:42","11:02","11:22","11:42","12:02","12:22","12:42","13:02","13:22","13:42","14:02","14:22","14:42","15:02","15:22","15:42","16:12","16:42","─","17:12","17:42","18:12","─","18:32","─","19:02","19:32","20:12","─","20:52","21:32","22:02"
"三井ｱｳﾄﾚｯﾄﾊﾟｰｸ","↓","↓","↓","↓","↓","↓","↓","↓","↓","↓","↓","↓","↓","↓","↓","↓","↓","↓","↓","↓","↓","↓","↓","↓","↓","↓","↓","↓","↓","↓","↓","↓","↓","↓","↓","↓","↓","↓","↓","↓","↓","↓","↓","↓","↓","↓","↓","↓","↓","↓","↓","↓","↓","↓","↓","16:30","↓","↓","↓","17:30","↓","18:30","↓","↓","↓","20:30","↓","↓","↓"
,"↓","↓","↓","↓","↓","↓","↓","↓","↓","↓","↓","↓","↓","↓","↓","↓","↓","↓","↓","↓","↓","↓","↓","↓","↓","↓","↓","↓","↓","↓","↓","↓","↓","↓","↓","↓","↓","↓","↓","↓","↓","↓","↓","↓","↓","↓","↓","↓","↓","↓","↓","↓","↓","↓","↓","↓","↓","↓","↓","↓","↓","↓","↓","↓","↓","↓","↓","↓","↓"
