,"京成","京成","京成","京成","日東","日東","京成","日東","京成","日東","京成","京成","日東","京成","京成","日東","日東","日東","京成","日東","日東","日東","日東","日東","日東","京成","日東","日東","京成","京成","京成","京成","日東","京成","京成","京成","京成","京成","日東","京成","日東","日東","日東","日東","日東","京成","日東","日東","日東","京成","日東","☆日東"
"東雲車庫","6:20","6:50","7:10","─","─","8:35","―","―","―","―","―","─","―","─","―","11:50","―","12:40","12:50","13:10","13:30","13:55","14:05","14:25","―","15:05","15:35","15:55","―","16:30","16:45","17:05","―","17:35","17:55","18:00","─","18:35","18:45","19:05","―","19:35","19:55","20:15","─","20:50","21:05","―","21:35","―","22:25","23:00"
"浜松町ＢＴ","↓","↓","↓","7:40","8:05","↓","9:05","9:35","10:00","10:05","10:35","10:45","11:05","11:25","11:45","↓","12:35","↓","↓","↓","↓","↓","↓","↓","15:05","↓","↓","↓","16:25","↓","↓","↓","17:30","↓","↓","↓","18:25","↓","↓","↓","19:25","↓","↓","↓","20:45","↓","↓","21:30","―","22:10","↓","↓"
"東京駅八重洲口前","6:45","7:20","7:40","8:00","8:25","9:05","9:25","9:55","10:20","10:25","10:55","11:05","11:25","11:45","12:05","12:20","12:55","13:10","13:20","13:40","14:00","14:25","14:35","14:55","15:25","15:35","16:05","16:25","16:45","17:00","17:15","17:35","17:50","18:05","18:25","18:30","18:45","19:05","19:15","19:35","19:45","20:05","20:25","20:45","21:05","21:20","21:35","21:50","22:05","22:30","22:55","23:25"
,"↓","↓","↓","↓","↓","↓","↓","↓","↓","↓","↓","↓","↓","↓","↓","↓","↓","↓","↓","↓","↓","↓","↓","↓","↓","↓","↓","↓","↓","↓","↓","↓","↓","↓","↓","↓","↓","↓","↓","↓","↓","↓","↓","↓","↓","↓","↓","↓","↓","↓","↓","↓"
"三井ｱｳﾄﾚｯﾄﾊﾟｰｸ","↓","↓","↓","↓","↓","↓","10:10","10:40","↓","11:10","11:40","↓","12:10","↓","12:50","↓","↓","↓","↓","↓","↓","↓","↓","↓","↓","↓","↓","↓","↓","↓","↓","↓","↓","↓","↓","↓","↓","↓","↓","↓","↓","↓","↓","↓","↓","↓","↓","↓","↓","↓","↓","↓"
"木更津金田ＢＴ","7:25","8:00","8:20","8:40","9:05","9:45","―","―","11:00","―","―","11:45","―","12:25","―","13:00","13:35","13:50","14:00","14:20","14:40","15:05","15:15","15:35","16:05","16:15","16:45","17:05","17:25","17:40","17:55","18:15","18:30","18:45","19:05","19:10","19:25","19:45","19:55","20:15","20:25","20:45","21:05","21:25","21:45","22:00","22:15","22:30","22:45","23:10","23:35","0:05"
"木更津羽鳥野","7:36","8:11","8:31","8:51","9:16","9:56","―","―","11:11","―","―","11:56","―","12:36","―","13:11","13:46","14:01","14:11","14:31","14:51","15:16","15:26","15:46","16:16","16:26","16:56","17:16","17:36","17:51","18:06","18:26","18:41","18:56","19:16","19:21","19:36","19:56","20:06","20:26","20:36","20:56","21:16","21:36","21:56","22:11","22:26","22:41","22:56","23:21","23:46","0:16"
"君津ＢＴ","7:40","8:15","8:35","8:55","9:20","10:00","―","―","11:15","―","―","12:00","―","12:40","―","13:15","13:50","14:05","14:15","14:35","14:55","15:20","15:30","15:50","16:20","16:30","17:00","17:20","17:40","17:55","18:10","18:30","18:45","19:00","19:20","19:25","19:40","20:00","20:10","20:30","20:40","21:00","21:20","21:40","22:00","22:15","22:30","22:45","23:00","23:25","23:50","0:20"
"杢師４丁目","7:46","8:21","8:41","9:01","9:26","10:06","―","―","11:21","―","―","12:06","―","12:46","―","13:21","13:56","14:11","14:21","14:41","15:01","15:26","15:36","15:56","16:26","16:36","17:06","17:26","17:46","18:01","18:16","18:36","18:51","19:06","19:26","19:31","19:46","20:06","20:16","20:36","20:46","21:06","21:26","21:46","22:06","22:21","22:36","22:51","23:06","23:31","23:56","0:26"
"君津市役所","7:49","8:24","8:44","9:04","9:29","10:09","―","―","11:24","―","―","12:09","―","12:49","―","13:24","13:59","14:14","14:24","14:44","15:04","15:29","15:39","15:59","16:29","16:39","17:09","17:29","17:49","18:04","18:19","18:39","18:54","19:09","19:29","19:34","19:49","20:09","20:19","20:39","20:49","21:09","21:29","21:49","22:09","22:24","22:39","22:54","23:09","23:34","23:59","0:29"
"君津駅南口","7:52","8:27","8:47","9:07","9:32","10:12","―","―","11:27","―","―","12:12","―","12:52","―","13:27","14:02","14:17","14:27","14:47","15:07","15:32","15:42","16:02","16:32","16:42","17:12","17:32","17:52","18:07","18:22","18:42","18:57","19:12","19:32","19:37","19:52","20:12","20:22","20:42","20:52","21:12","21:32","21:52","22:12","22:27","22:42","22:57","23:12","23:37","0:02","0:32"
"富士見公園","─","─","─","9:12","─","─","─","─","─","─","─","12:17","─","─","─","─","─","14:22","─","─","─","─","─","─","16:37","─","─","─","17:57","─","─","─","─","─","─","─","19:57","─","─","─","20:57","─","─","─","22:17","─","─","23:02","─","─","─","─"
"青堀駅","─","─","─","9:17","─","─","─","─","─","─","─","12:22","─","─","─","─","─","14:27","─","─","─","─","─","─","16:42","─","─","─","18:02","─","─","─","─","─","─","─","20:02","─","─","─","21:02","─","─","─","22:22","─","─","23:07","─","─","─","─"
