,"日東","日東","日東","京成","日東","日東","京成","日東","日東","京成","京成","日東","京成","京成","京成","日東","京成","日東","日東","日東","京成","京成","日東","日東","京成","日東","日東","京成","日東","京成","日東","日東","京成","京成","京成","日東","京成","京成","日東","京成","日東","日東","日東","日東","日東","日東","京成","京成","京成","京成","京成","京成","京成"
"青堀駅","─","─","6:26","─","─","─","7:26","─","─","8:06","─","─","8:46","─","─","9:16","─","─","─","─","─","─","─","─","─","─","─","─","─","─","─","─","─","13:51","─","─","─","─","─","15:51","─","─","─","17:11","─","─","─","─","19:31","─","─","─","─"
"富士見公園","─","─","6:31","─","─","─","7:31","─","─","8:11","─","─","8:51","─","─","9:21","─","─","─","─","─","─","─","─","─","─","─","─","─","─","─","─","─","13:56","─","─","─","─","─","15:56","─","─","─","17:16","─","─","─","─","19:36","─","─","─","─"
"君津駅南口","5:46","6:11","6:36","6:51","7:06","7:21","7:36","7:51","8:06","8:16","8:31","8:46","8:56","9:06","9:16","9:26","9:36","9:46","9:56","10:06","10:16","10:26","10:36","10:46","10:56","11:11","11:31","11:51","12:11","12:31","12:51","13:11","13:31","14:01","14:31","14:51","─","15:11","15:31","16:01","─","16:41","─","17:21","─","18:11","18:51","─","19:41","─","20:21","21:01","21:31"
"君津市役所","5:49","6:14","6:39","6:54","7:09","7:24","7:39","7:54","8:09","8:19","8:34","8:49","8:59","9:09","9:19","9:29","9:39","9:49","9:59","10:09","10:19","10:29","10:39","10:49","10:59","11:14","11:34","11:54","12:14","12:34","12:54","13:14","13:34","14:04","14:34","14:54","─","15:14","15:34","16:04","─","16:44","─","17:24","─","18:14","18:54","─","19:44","─","20:24","21:04","21:34"
"杢師４丁目","5:52","6:17","6:42","6:57","7:12","7:27","7:42","7:57","8:12","8:22","8:37","8:52","9:02","9:12","9:22","9:32","9:42","9:52","10:02","10:12","10:22","10:32","10:42","10:52","11:02","11:17","11:37","11:57","12:17","12:37","12:57","13:17","13:37","14:07","14:37","14:57","─","15:17","15:37","16:07","─","16:47","─","17:27","─","18:17","18:57","─","19:47","─","20:27","21:07","21:37"
"君津ＢＴ","6:00","6:25","6:50","7:05","7:20","7:35","7:50","8:05","8:20","8:30","8:45","9:00","9:10","9:20","9:30","9:40","9:50","10:00","10:10","10:20","10:30","10:40","10:50","11:00","11:10","11:25","11:45","12:05","12:25","12:45","13:05","13:25","13:45","14:15","14:45","15:05","─","15:25","15:45","16:15","─","16:55","─","17:35","─","18:25","19:05","─","19:55","─","20:35","21:15","21:45"
"木更津羽鳥野","6:04","6:29","6:54","7:09","7:24","7:39","7:54","8:09","8:24","8:34","8:49","9:04","9:14","9:24","9:34","9:44","9:54","10:04","10:14","10:24","10:34","10:44","10:54","11:04","11:14","11:29","11:49","12:09","12:29","12:49","13:09","13:29","13:49","14:19","14:49","15:09","―","15:29","15:49","16:19","―","16:59","―","17:39","―","18:29","19:09","―","19:59","―","20:39","21:19","21:49"
"木更津金田ＢＴ","6:17","6:42","7:07","7:22","7:37","7:52","8:07","8:22","8:37","8:47","9:02","9:17","9:27","9:37","9:47","9:57","10:07","10:17","10:27","10:37","10:47","10:57","11:07","11:17","11:27","11:42","12:02","12:22","12:42","13:02","13:22","13:42","14:02","14:32","15:02","15:22","―","15:42","16:02","16:32","―","17:12","―","17:52","―","18:42","19:22","―","20:12","―","20:52","21:32","22:02"
"三井ｱｳﾄﾚｯﾄﾊﾟｰｸ","↓","↓","↓","↓","↓","↓","↓","↓","↓","↓","↓","↓","↓","↓","↓","↓","↓","↓","↓","↓","↓","↓","↓","↓","↓","↓","↓","↓","↓","↓","↓","↓","↓","↓","↓","↓","15:30","↓","↓","↓","16:30","↓","17:30","↓","18:30","↓","↓","19:30","↓","20:30","↓","↓","↓"
,"↓","↓","↓","↓","↓","↓","↓","↓","↓","↓","↓","↓","↓","↓","↓","↓","↓","↓","↓","↓","↓","↓","↓","↓","↓","↓","↓","↓","↓","↓","↓","↓","↓","↓","↓","↓","↓","↓","↓","↓","↓","↓","↓","↓","↓","↓","↓","↓","↓","↓","↓","↓","↓"
"東京駅八重洲口前","6:57","7:22","7:47","8:02","8:17","8:32","8:47","9:02","9:17","9:27","9:42","9:57","10:07","10:17","10:27","10:37","10:47","10:57","11:07","11:17","11:27","11:37","11:47","11:57","12:07","12:22","12:42","13:02","13:22","13:42","14:02","14:22","14:42","15:12","15:42","16:02","16:15","16:22","16:42","17:12","17:15","17:52","18:15","18:32","19:15","19:22","20:02","20:15","20:52","21:15","21:32","22:12","22:42"
"浜松町ＢＴ","7:17","↓","─","─","─","8:52","9:07","9:22","─","9:47","10:02","10:17","10:27","10:37","─","↓","↓","↓","11:27","↓","↓","↓","↓","↓","↓","↓","↓","↓","13:42","↓","↓","↓","↓","↓","↓","16:22","16:35","↓","↓","↓","17:35","↓","18:35","↓","19:35","↓","↓","20:35","―","21:35","―","―","―"
"東雲車庫","─","7:42","─","─","─","─","─","─","─","─","─","─","─","─","10:47","10:57","11:07","11:17","─","11:37","11:47","11:57","12:07","12:17","12:27","12:42","13:02","13:22","─","14:02","14:22","14:42","15:02","15:32","16:02","―","―","16:42","17:02","17:32","―","18:12","―","18:52","―","19:42","20:22","―","―","―","―","―","―"
